image,source,type_degradation,niveau
degraded\clothing\004_jpeg_high.jpg,originals\clothing\CLO_004.jpg,jpeg,high
degraded\clothing\005_blur_low.jpg,originals\clothing\CLO_005.jpg,blur,low
degraded\clothing\005_blur_medium.jpg,originals\clothing\CLO_005.jpg,blur,medium
degraded\clothing\005_blur_high.jpg,originals\clothing\CLO_005.jpg,blur,high
degraded\clothing\005_underexposure_low.jpg,originals\clothing\CLO_005.jpg,underexposure,low
degraded\clothing\005_underexposure_medium.jpg,originals\clothing\CLO_005.jpg,underexposure,medium
degraded\clothing\005_underexposure_high.jpg,originals\clothing\CLO_005.jpg,underexposure,high
degraded\clothing\005_overexposure_low.jpg,originals\clothing\CLO_005.jpg,overexposure,low
degraded\clothing\005_overexposure_medium.jpg,originals\clothing\CLO_005.jpg,overexposure,medium
degraded\clothing\005_overexposure_high.jpg,originals\clothing\CLO_005.jpg,overexposure,high
degraded\clothing\005_bad_crop_low.jpg,originals\clothing\CLO_005.jpg,bad_crop,low
degraded\clothing\005_bad_crop_medium.jpg,originals\clothing\CLO_005.jpg,bad_crop,medium
degraded\clothing\005_bad_crop_high.jpg,originals\clothing\CLO_005.jpg,bad_crop,high
degraded\clothing\005_lowres_low.jpg,originals\clothing\CLO_005.jpg,lowres,low
degraded\clothing\005_lowres_medium.jpg,originals\clothing\CLO_005.jpg,lowres,medium
degraded\clothing\005_lowres_high.jpg,originals\clothing\CLO_005.jpg,lowres,high
degraded\clothing\005_jpeg_low.jpg,originals\clothing\CLO_005.jpg,jpeg,low
degraded\clothing\005_jpeg_medium.jpg,originals\clothing\CLO_005.jpg,jpeg,medium
degraded\clothing\005_jpeg_high.jpg,originals\clothing\CLO_005.jpg,jpeg,high
degraded\clothing\006_blur_low.jpg,originals\clothing\CLO_006.jpg,blur,low
degraded\clothing\006_blur_medium.jpg,originals\clothing\CLO_006.jpg,blur,medium
degraded\clothing\006_blur_high.jpg,originals\clothing\CLO_006.jpg,blur,high
degraded\clothing\006_underexposure_low.jpg,originals\clothing\CLO_006.jpg,underexposure,low
degraded\clothing\006_underexposure_medium.jpg,originals\clothing\CLO_006.jpg,underexposure,medium
degraded\clothing\006_underexposure_high.jpg,originals\clothing\CLO_006.jpg,underexposure,high
degraded\clothing\006_overexposure_low.jpg,originals\clothing\CLO_006.jpg,overexposure,low
degraded\clothing\006_overexposure_medium.jpg,originals\clothing\CLO_006.jpg,overexposure,medium
degraded\clothing\006_overexposure_high.jpg,originals\clothing\CLO_006.jpg,overexposure,high
degraded\clothing\006_bad_crop_low.jpg,originals\clothing\CLO_006.jpg,bad_crop,low
degraded\clothing\006_bad_crop_medium.jpg,originals\clothing\CLO_006.jpg,bad_crop,medium
degraded\clothing\006_bad_crop_high.jpg,originals\clothing\CLO_006.jpg,bad_crop,high
degraded\clothing\006_lowres_low.jpg,originals\clothing\CLO_006.jpg,lowres,low
degraded\clothing\006_lowres_medium.jpg,originals\clothing\CLO_006.jpg,lowres,medium
degraded\clothing\006_lowres_high.jpg,originals\clothing\CLO_006.jpg,lowres,high
degraded\clothing\006_jpeg_low.jpg,originals\clothing\CLO_006.jpg,jpeg,low
degraded\clothing\006_jpeg_medium.jpg,originals\clothing\CLO_006.jpg,jpeg,medium
degraded\clothing\006_jpeg_high.jpg,originals\clothing\CLO_006.jpg,jpeg,high
degraded\clothing\007_blur_low.jpg,originals\clothing\CLO_007.jpg,blur,low
degraded\clothing\007_blur_medium.jpg,originals\clothing\CLO_007.jpg,blur,medium
degraded\clothing\007_blur_high.jpg,originals\clothing\CLO_007.jpg,blur,high
degraded\clothing\007_underexposure_low.jpg,originals\clothing\CLO_007.jpg,underexposure,low
degraded\clothing\007_underexposure_medium.jpg,originals\clothing\CLO_007.jpg,underexposure,medium
degraded\clothing\007_underexposure_high.jpg,originals\clothing\CLO_007.jpg,underexposure,high
degraded\clothing\007_overexposure_low.jpg,originals\clothing\CLO_007.jpg,overexposure,low
degraded\clothing\007_overexposure_medium.jpg,originals\clothing\CLO_007.jpg,overexposure,medium
degraded\clothing\007_overexposure_high.jpg,originals\clothing\CLO_007.jpg,overexposure,high
degraded\clothing\007_bad_crop_low.jpg,originals\clothing\CLO_007.jpg,bad_crop,low
degraded\clothing\007_bad_crop_medium.jpg,originals\clothing\CLO_007.jpg,bad_crop,medium
degraded\clothing\007_bad_crop_high.jpg,originals\clothing\CLO_007.jpg,bad_crop,high
degraded\clothing\007_lowres_low.jpg,originals\clothing\CLO_007.jpg,lowres,low
degraded\clothing\007_lowres_medium.jpg,originals\clothing\CLO_007.jpg,lowres,medium
degraded\clothing\007_lowres_high.jpg,originals\clothing\CLO_007.jpg,lowres,high
degraded\clothing\007_jpeg_low.jpg,originals\clothing\CLO_007.jpg,jpeg,low
degraded\clothing\007_jpeg_medium.jpg,originals\clothing\CLO_007.jpg,jpeg,medium
degraded\clothing\007_jpeg_high.jpg,originals\clothing\CLO_007.jpg,jpeg,high
degraded\clothing\008_blur_low.jpg,originals\clothing\CLO_008.jpg,blur,low
degraded\clothing\008_blur_medium.jpg,originals\clothing\CLO_008.jpg,blur,medium
degraded\clothing\008_blur_high.jpg,originals\clothing\CLO_008.jpg,blur,high
degraded\clothing\008_underexposure_low.jpg,originals\clothing\CLO_008.jpg,underexposure,low
degraded\clothing\008_underexposure_medium.jpg,originals\clothing\CLO_008.jpg,underexposure,medium
degraded\clothing\008_underexposure_high.jpg,originals\clothing\CLO_008.jpg,underexposure,high
degraded\clothing\008_overexposure_low.jpg,originals\clothing\CLO_008.jpg,overexposure,low
degraded\clothing\008_overexposure_medium.jpg,originals\clothing\CLO_008.jpg,overexposure,medium
degraded\clothing\008_overexposure_high.jpg,originals\clothing\CLO_008.jpg,overexposure,high
degraded\clothing\008_bad_crop_low.jpg,originals\clothing\CLO_008.jpg,bad_crop,low
degraded\clothing\008_bad_crop_medium.jpg,originals\clothing\CLO_008.jpg,bad_crop,medium
degraded\clothing\008_bad_crop_high.jpg,originals\clothing\CLO_008.jpg,bad_crop,high
degraded\clothing\008_lowres_low.jpg,originals\clothing\CLO_008.jpg,lowres,low
degraded\clothing\008_lowres_medium.jpg,originals\clothing\CLO_008.jpg,lowres,medium
degraded\clothing\008_lowres_high.jpg,originals\clothing\CLO_008.jpg,lowres,high
degraded\clothing\008_jpeg_low.jpg,originals\clothing\CLO_008.jpg,jpeg,low
degraded\clothing\008_jpeg_medium.jpg,originals\clothing\CLO_008.jpg,jpeg,medium
degraded\clothing\008_jpeg_high.jpg,originals\clothing\CLO_008.jpg,jpeg,high
degraded\clothing\009_blur_low.jpg,originals\clothing\CLO_009.jpg,blur,low
degraded\clothing\009_blur_medium.jpg,originals\clothing\CLO_009.jpg,blur,medium
degraded\clothing\009_blur_high.jpg,originals\clothing\CLO_009.jpg,blur,high
degraded\clothing\009_underexposure_low.jpg,originals\clothing\CLO_009.jpg,underexposure,low
degraded\clothing\009_underexposure_medium.jpg,originals\clothing\CLO_009.jpg,underexposure,medium
degraded\clothing\009_underexposure_high.jpg,originals\clothing\CLO_009.jpg,underexposure,high
degraded\clothing\009_overexposure_low.jpg,originals\clothing\CLO_009.jpg,overexposure,low
degraded\clothing\009_overexposure_medium.jpg,originals\clothing\CLO_009.jpg,overexposure,medium
degraded\clothing\009_overexposure_high.jpg,originals\clothing\CLO_009.jpg,overexposure,high
degraded\clothing\009_bad_crop_low.jpg,originals\clothing\CLO_009.jpg,bad_crop,low
degraded\clothing\009_bad_crop_medium.jpg,originals\clothing\CLO_009.jpg,bad_crop,medium
degraded\clothing\009_bad_crop_high.jpg,originals\clothing\CLO_009.jpg,bad_crop,high
degraded\clothing\009_lowres_low.jpg,originals\clothing\CLO_009.jpg,lowres,low
degraded\clothing\009_lowres_medium.jpg,originals\clothing\CLO_009.jpg,lowres,medium
degraded\clothing\009_lowres_high.jpg,originals\clothing\CLO_009.jpg,lowres,high
degraded\clothing\009_jpeg_low.jpg,originals\clothing\CLO_009.jpg,jpeg,low
degraded\clothing\009_jpeg_medium.jpg,originals\clothing\CLO_009.jpg,jpeg,medium
degraded\clothing\009_jpeg_high.jpg,originals\clothing\CLO_009.jpg,jpeg,high
degraded\clothing\010_blur_low.jpg,originals\clothing\CLO_010.jpg,blur,low
degraded\clothing\010_blur_medium.jpg,originals\clothing\CLO_010.jpg,blur,medium
degraded\clothing\010_blur_high.jpg,originals\clothing\CLO_010.jpg,blur,high
degraded\clothing\010_underexposure_low.jpg,originals\clothing\CLO_010.jpg,underexposure,low
degraded\clothing\010_underexposure_medium.jpg,originals\clothing\CLO_010.jpg,underexposure,medium
degraded\clothing\010_underexposure_high.jpg,originals\clothing\CLO_010.jpg,underexposure,high
degraded\clothing\010_overexposure_low.jpg,originals\clothing\CLO_010.jpg,overexposure,low
degraded\clothing\010_overexposure_medium.jpg,originals\clothing\CLO_010.jpg,overexposure,medium
degraded\clothing\010_overexposure_high.jpg,originals\clothing\CLO_010.jpg,overexposure,high
degraded\clothing\010_bad_crop_low.jpg,originals\clothing\CLO_010.jpg,bad_crop,low
degraded\clothing\010_bad_crop_medium.jpg,originals\clothing\CLO_010.jpg,bad_crop,medium
degraded\clothing\010_bad_crop_high.jpg,originals\clothing\CLO_010.jpg,bad_crop,high
degraded\clothing\010_lowres_low.jpg,originals\clothing\CLO_010.jpg,lowres,low
degraded\clothing\010_lowres_medium.jpg,originals\clothing\CLO_010.jpg,lowres,medium
degraded\clothing\010_lowres_high.jpg,originals\clothing\CLO_010.jpg,lowres,high
degraded\clothing\010_jpeg_low.jpg,originals\clothing\CLO_010.jpg,jpeg,low
degraded\clothing\010_jpeg_medium.jpg,originals\clothing\CLO_010.jpg,jpeg,medium
degraded\clothing\010_jpeg_high.jpg,originals\clothing\CLO_010.jpg,jpeg,high
degraded\clothing\011_blur_low.jpg,originals\clothing\CLO_011.jpg,blur,low
degraded\clothing\011_blur_medium.jpg,originals\clothing\CLO_011.jpg,blur,medium
degraded\clothing\011_blur_high.jpg,originals\clothing\CLO_011.jpg,blur,high
degraded\clothing\011_underexposure_low.jpg,originals\clothing\CLO_011.jpg,underexposure,low
degraded\clothing\011_underexposure_medium.jpg,originals\clothing\CLO_011.jpg,underexposure,medium
degraded\clothing\011_underexposure_high.jpg,originals\clothing\CLO_011.jpg,underexposure,high
degraded\clothing\011_overexposure_low.jpg,originals\clothing\CLO_011.jpg,overexposure,low
degraded\clothing\011_overexposure_medium.jpg,originals\clothing\CLO_011.jpg,overexposure,medium
degraded\clothing\011_overexposure_high.jpg,originals\clothing\CLO_011.jpg,overexposure,high
degraded\clothing\011_bad_crop_low.jpg,originals\clothing\CLO_011.jpg,bad_crop,low
degraded\clothing\011_bad_crop_medium.jpg,originals\clothing\CLO_011.jpg,bad_crop,medium
degraded\clothing\011_bad_crop_high.jpg,originals\clothing\CLO_011.jpg,bad_crop,high
degraded\clothing\011_lowres_low.jpg,originals\clothing\CLO_011.jpg,lowres,low
degraded\clothing\011_lowres_medium.jpg,originals\clothing\CLO_011.jpg,lowres,medium
degraded\clothing\011_lowres_high.jpg,originals\clothing\CLO_011.jpg,lowres,high
degraded\clothing\011_jpeg_low.jpg,originals\clothing\CLO_011.jpg,jpeg,low
degraded\clothing\011_jpeg_medium.jpg,originals\clothing\CLO_011.jpg,jpeg,medium
degraded\clothing\011_jpeg_high.jpg,originals\clothing\CLO_011.jpg,jpeg,high
degraded\clothing\012_blur_low.jpg,originals\clothing\CLO_012.jpg,blur,low
degraded\clothing\012_blur_medium.jpg,originals\clothing\CLO_012.jpg,blur,medium
degraded\clothing\012_blur_high.jpg,originals\clothing\CLO_012.jpg,blur,high
degraded\clothing\012_underexposure_low.jpg,originals\clothing\CLO_012.jpg,underexposure,low
degraded\clothing\012_underexposure_medium.jpg,originals\clothing\CLO_012.jpg,underexposure,medium
degraded\clothing\012_underexposure_high.jpg,originals\clothing\CLO_012.jpg,underexposure,high
degraded\clothing\012_overexposure_low.jpg,originals\clothing\CLO_012.jpg,overexposure,low
degraded\clothing\012_overexposure_medium.jpg,originals\clothing\CLO_012.jpg,overexposure,medium
degraded\clothing\012_overexposure_high.jpg,originals\clothing\CLO_012.jpg,overexposure,high
degraded\clothing\012_bad_crop_low.jpg,originals\clothing\CLO_012.jpg,bad_crop,low
degraded\clothing\012_bad_crop_medium.jpg,originals\clothing\CLO_012.jpg,bad_crop,medium
degraded\clothing\012_bad_crop_high.jpg,originals\clothing\CLO_012.jpg,bad_crop,high
degraded\clothing\012_lowres_low.jpg,originals\clothing\CLO_012.jpg,lowres,low
degraded\clothing\012_lowres_medium.jpg,originals\clothing\CLO_012.jpg,lowres,medium
degraded\clothing\012_lowres_high.jpg,originals\clothing\CLO_012.jpg,lowres,high
degraded\clothing\012_jpeg_low.jpg,originals\clothing\CLO_012.jpg,jpeg,low
degraded\clothing\012_jpeg_medium.jpg,originals\clothing\CLO_012.jpg,jpeg,medium
degraded\clothing\012_jpeg_high.jpg,originals\clothing\CLO_012.jpg,jpeg,high
degraded\clothing\013_blur_low.jpg,originals\clothing\CLO_013.jpg,blur,low
degraded\clothing\013_blur_medium.jpg,originals\clothing\CLO_013.jpg,blur,medium
degraded\clothing\013_blur_high.jpg,originals\clothing\CLO_013.jpg,blur,high
degraded\clothing\013_underexposure_low.jpg,originals\clothing\CLO_013.jpg,underexposure,low
degraded\clothing\013_underexposure_medium.jpg,originals\clothing\CLO_013.jpg,underexposure,medium
degraded\clothing\013_underexposure_high.jpg,originals\clothing\CLO_013.jpg,underexposure,high
degraded\clothing\013_overexposure_low.jpg,originals\clothing\CLO_013.jpg,overexposure,low
degraded\clothing\013_overexposure_medium.jpg,originals\clothing\CLO_013.jpg,overexposure,medium
degraded\clothing\013_overexposure_high.jpg,originals\clothing\CLO_013.jpg,overexposure,high
degraded\clothing\013_bad_crop_low.jpg,originals\clothing\CLO_013.jpg,bad_crop,low
degraded\clothing\013_bad_crop_medium.jpg,originals\clothing\CLO_013.jpg,bad_crop,medium
degraded\clothing\013_bad_crop_high.jpg,originals\clothing\CLO_013.jpg,bad_crop,high
degraded\clothing\013_lowres_low.jpg,originals\clothing\CLO_013.jpg,lowres,low
degraded\clothing\013_lowres_medium.jpg,originals\clothing\CLO_013.jpg,lowres,medium
degraded\clothing\013_lowres_high.jpg,originals\clothing\CLO_013.jpg,lowres,high
degraded\clothing\013_jpeg_low.jpg,originals\clothing\CLO_013.jpg,jpeg,low
degraded\clothing\013_jpeg_medium.jpg,originals\clothing\CLO_013.jpg,jpeg,medium
degraded\clothing\013_jpeg_high.jpg,originals\clothing\CLO_013.jpg,jpeg,high
degraded\clothing\014_blur_low.jpg,originals\clothing\CLO_014.jpg,blur,low
degraded\clothing\014_blur_medium.jpg,originals\clothing\CLO_014.jpg,blur,medium
degraded\clothing\014_blur_high.jpg,originals\clothing\CLO_014.jpg,blur,high
degraded\clothing\014_underexposure_low.jpg,originals\clothing\CLO_014.jpg,underexposure,low
degraded\clothing\014_underexposure_medium.jpg,originals\clothing\CLO_014.jpg,underexposure,medium
degraded\clothing\014_underexposure_high.jpg,originals\clothing\CLO_014.jpg,underexposure,high
degraded\clothing\014_overexposure_low.jpg,originals\clothing\CLO_014.jpg,overexposure,low
degraded\clothing\014_overexposure_medium.jpg,originals\clothing\CLO_014.jpg,overexposure,medium
degraded\clothing\014_overexposure_high.jpg,originals\clothing\CLO_014.jpg,overexposure,high
degraded\clothing\014_bad_crop_low.jpg,originals\clothing\CLO_014.jpg,bad_crop,low
degraded\clothing\014_bad_crop_medium.jpg,originals\clothing\CLO_014.jpg,bad_crop,medium
degraded\clothing\014_bad_crop_high.jpg,originals\clothing\CLO_014.jpg,bad_crop,high
degraded\clothing\014_lowres_low.jpg,originals\clothing\CLO_014.jpg,lowres,low
degraded\clothing\014_lowres_medium.jpg,originals\clothing\CLO_014.jpg,lowres,medium
degraded\clothing\014_lowres_high.jpg,originals\clothing\CLO_014.jpg,lowres,high
degraded\clothing\014_jpeg_low.jpg,originals\clothing\CLO_014.jpg,jpeg,low
degraded\clothing\014_jpeg_medium.jpg,originals\clothing\CLO_014.jpg,jpeg,medium
degraded\clothing\014_jpeg_high.jpg,originals\clothing\CLO_014.jpg,jpeg,high
degraded\clothing\015_blur_low.jpg,originals\clothing\CLO_015.jpg,blur,low
degraded\clothing\015_blur_medium.jpg,originals\clothing\CLO_015.jpg,blur,medium
degraded\clothing\015_blur_high.jpg,originals\clothing\CLO_015.jpg,blur,high
degraded\clothing\015_underexposure_low.jpg,originals\clothing\CLO_015.jpg,underexposure,low
degraded\clothing\015_underexposure_medium.jpg,originals\clothing\CLO_015.jpg,underexposure,medium
degraded\clothing\015_underexposure_high.jpg,originals\clothing\CLO_015.jpg,underexposure,high
degraded\clothing\015_overexposure_low.jpg,originals\clothing\CLO_015.jpg,overexposure,low
degraded\clothing\015_overexposure_medium.jpg,originals\clothing\CLO_015.jpg,overexposure,medium
degraded\clothing\015_overexposure_high.jpg,originals\clothing\CLO_015.jpg,overexposure,high
degraded\clothing\015_bad_crop_low.jpg,originals\clothing\CLO_015.jpg,bad_crop,low
degraded\clothing\015_bad_crop_medium.jpg,originals\clothing\CLO_015.jpg,bad_crop,medium
degraded\clothing\015_bad_crop_high.jpg,originals\clothing\CLO_015.jpg,bad_crop,high
degraded\clothing\015_lowres_low.jpg,originals\clothing\CLO_015.jpg,lowres,low
degraded\clothing\015_lowres_medium.jpg,originals\clothing\CLO_015.jpg,lowres,medium
degraded\clothing\015_lowres_high.jpg,originals\clothing\CLO_015.jpg,lowres,high
degraded\clothing\015_jpeg_low.jpg,originals\clothing\CLO_015.jpg,jpeg,low
degraded\clothing\015_jpeg_medium.jpg,originals\clothing\CLO_015.jpg,jpeg,medium
degraded\clothing\015_jpeg_high.jpg,originals\clothing\CLO_015.jpg,jpeg,high
degraded\clothing\016_blur_low.jpg,originals\clothing\CLO_016.jpg,blur,low
degraded\clothing\016_blur_medium.jpg,originals\clothing\CLO_016.jpg,blur,medium
degraded\clothing\016_blur_high.jpg,originals\clothing\CLO_016.jpg,blur,high
degraded\clothing\016_underexposure_low.jpg,originals\clothing\CLO_016.jpg,underexposure,low
degraded\clothing\016_underexposure_medium.jpg,originals\clothing\CLO_016.jpg,underexposure,medium
degraded\clothing\016_underexposure_high.jpg,originals\clothing\CLO_016.jpg,underexposure,high
degraded\clothing\016_overexposure_low.jpg,originals\clothing\CLO_016.jpg,overexposure,low
degraded\clothing\016_overexposure_medium.jpg,originals\clothing\CLO_016.jpg,overexposure,medium
degraded\clothing\016_overexposure_high.jpg,originals\clothing\CLO_016.jpg,overexposure,high
degraded\clothing\016_bad_crop_low.jpg,originals\clothing\CLO_016.jpg,bad_crop,low
degraded\clothing\016_bad_crop_medium.jpg,originals\clothing\CLO_016.jpg,bad_crop,medium
degraded\clothing\016_bad_crop_high.jpg,originals\clothing\CLO_016.jpg,bad_crop,high
degraded\clothing\016_lowres_low.jpg,originals\clothing\CLO_016.jpg,lowres,low
degraded\clothing\016_lowres_medium.jpg,originals\clothing\CLO_016.jpg,lowres,medium
degraded\clothing\016_lowres_high.jpg,originals\clothing\CLO_016.jpg,lowres,high
degraded\clothing\016_jpeg_low.jpg,originals\clothing\CLO_016.jpg,jpeg,low
degraded\clothing\016_jpeg_medium.jpg,originals\clothing\CLO_016.jpg,jpeg,medium
degraded\clothing\016_jpeg_high.jpg,originals\clothing\CLO_016.jpg,jpeg,high
degraded\clothing\017_blur_low.jpg,originals\clothing\CLO_017.jpg,blur,low
degraded\clothing\017_blur_medium.jpg,originals\clothing\CLO_017.jpg,blur,medium
degraded\clothing\017_blur_high.jpg,originals\clothing\CLO_017.jpg,blur,high
degraded\clothing\017_underexposure_low.jpg,originals\clothing\CLO_017.jpg,underexposure,low
degraded\clothing\017_underexposure_medium.jpg,originals\clothing\CLO_017.jpg,underexposure,medium
degraded\clothing\017_underexposure_high.jpg,originals\clothing\CLO_017.jpg,underexposure,high
degraded\clothing\017_overexposure_low.jpg,originals\clothing\CLO_017.jpg,overexposure,low
degraded\clothing\017_overexposure_medium.jpg,originals\clothing\CLO_017.jpg,overexposure,medium
degraded\clothing\017_overexposure_high.jpg,originals\clothing\CLO_017.jpg,overexposure,high
degraded\clothing\017_bad_crop_low.jpg,originals\clothing\CLO_017.jpg,bad_crop,low
degraded\clothing\017_bad_crop_medium.jpg,originals\clothing\CLO_017.jpg,bad_crop,medium
degraded\clothing\017_bad_crop_high.jpg,originals\clothing\CLO_017.jpg,bad_crop,high
degraded\clothing\017_lowres_low.jpg,originals\clothing\CLO_017.jpg,lowres,low
degraded\clothing\017_lowres_medium.jpg,originals\clothing\CLO_017.jpg,lowres,medium
degraded\clothing\017_lowres_high.jpg,originals\clothing\CLO_017.jpg,lowres,high
degraded\clothing\017_jpeg_low.jpg,originals\clothing\CLO_017.jpg,jpeg,low
degraded\clothing\017_jpeg_medium.jpg,originals\clothing\CLO_017.jpg,jpeg,medium
degraded\clothing\017_jpeg_high.jpg,originals\clothing\CLO_017.jpg,jpeg,high
degraded\clothing\018_blur_low.jpg,originals\clothing\CLO_018.jpg,blur,low
degraded\clothing\018_blur_medium.jpg,originals\clothing\CLO_018.jpg,blur,medium
degraded\clothing\018_blur_high.jpg,originals\clothing\CLO_018.jpg,blur,high
degraded\clothing\018_underexposure_low.jpg,originals\clothing\CLO_018.jpg,underexposure,low
